"","geo_id","Year","ID Race","Race","Income","Household Income by Race Moe","Geography","ID Geography","case_count","hosp_count","death_count","total_hosp_incidental","time_period","Cases_Per_Thousand_Dollar_Income","Income_Level"
"1","53033000100",2019,0,"Total",55143,5847,"Census Tract 1, King County, WA","14000US53033000100",1893,63,14,32,"Overall",34.3289266089984,"High"
"2","53033000200",2019,0,"Total",77463,11351,"Census Tract 2, King County, WA","14000US53033000200",2098,75,10,35,"Overall",27.083898119102,"High"
"3","53033000300",2019,0,"Total",100917,10408,"Census Tract 3, King County, WA","14000US53033000300",791,17,6,12,"Overall",7.8381243992588,"High"
"4","53033000401",2019,0,"Total",32877,5813,"Census Tract 4.01, King County, WA","14000US53033000401",1723,83,16,43,"Overall",52.4074581014083,"Medium"
"5","53033000402",2019,0,"Total",72150,13709,"Census Tract 4.02, King County, WA","14000US53033000402",1349,80,16,33,"Overall",18.6971586971587,"High"
"6","53033000500",2019,0,"Total",148906,17245,"Census Tract 5, King County, WA","14000US53033000500",780,17,5,11,"Overall",5.23820396760372,"High"
"7","53033000600",2019,0,"Total",77269,11592,"Census Tract 6, King County, WA","14000US53033000600",2225,71,16,39,"Overall",28.7955066067893,"High"
"8","53033000700",2019,0,"Total",64310,11767,"Census Tract 7, King County, WA","14000US53033000700",1229,37,6,16,"Overall",19.1105582335562,"High"
"9","53033000800",2019,0,"Total",102500,18804,"Census Tract 8, King County, WA","14000US53033000800",593,16,13,7,"Overall",5.78536585365854,"High"
"10","53033000900",2019,0,"Total",147750,17447,"Census Tract 9, King County, WA","14000US53033000900",454,12,2,3,"Overall",3.07275803722504,"High"
"11","53033001000",2019,0,"Total",110956,16093,"Census Tract 10, King County, WA","14000US53033001000",441,24,5,6,"Overall",3.97454846966365,"High"
"12","53033001100",2019,0,"Total",95573,18523,"Census Tract 11, King County, WA","14000US53033001100",589,23,3,11,"Overall",6.16282841388258,"High"
"13","53033001200",2019,0,"Total",51807,5796,"Census Tract 12, King County, WA","14000US53033001200",1921,64,11,40,"Overall",37.0799312834173,"High"
"14","53033001300",2019,0,"Total",72850,16333,"Census Tract 13, King County, WA","14000US53033001300",1306,58,18,24,"Overall",17.9272477693892,"High"
"15","53033001400",2019,0,"Total",93948,12930,"Census Tract 14, King County, WA","14000US53033001400",1216,29,4,15,"Overall",12.9433303529612,"High"
"16","53033001500",2019,0,"Total",128059,13122,"Census Tract 15, King County, WA","14000US53033001500",839,12,3,9,"Overall",6.5516675907199,"High"
"17","53033001600",2019,0,"Total",143125,18783,"Census Tract 16, King County, WA","14000US53033001600",987,29,6,15,"Overall",6.89606986899563,"High"
"18","53033001701",2019,0,"Total",75162,4517,"Census Tract 17.01, King County, WA","14000US53033001701",936,19,3,14,"Overall",12.4531013011894,"High"
"19","53033001702",2019,0,"Total",93679,20360,"Census Tract 17.02, King County, WA","14000US53033001702",1249,45,12,26,"Overall",13.3327640132794,"High"
"20","53033001800",2019,0,"Total",95993,11539,"Census Tract 18, King County, WA","14000US53033001800",1353,12,2,9,"Overall",14.0947777442105,"High"
"21","53033001900",2019,0,"Total",89448,13472,"Census Tract 19, King County, WA","14000US53033001900",1110,30,6,20,"Overall",12.4094445935068,"High"
"22","53033002000",2019,0,"Total",121184,15236,"Census Tract 20, King County, WA","14000US53033002000",919,21,3,15,"Overall",7.58350937417481,"High"
"23","53033002100",2019,0,"Total",113750,18437,"Census Tract 21, King County, WA","14000US53033002100",950,16,8,10,"Overall",8.35164835164835,"High"
"24","53033002200",2019,0,"Total",134554,21235,"Census Tract 22, King County, WA","14000US53033002200",1183,16,9,15,"Overall",8.79200915617522,"High"
"25","53033002400",2019,0,"Total",126944,16260,"Census Tract 24, King County, WA","14000US53033002400",585,8,2,8,"Overall",4.60833123266952,"High"
"26","53033002500",2019,0,"Total",121635,21542,"Census Tract 25, King County, WA","14000US53033002500",703,9,1,14,"Overall",5.77958646771077,"High"
"27","53033002600",2019,0,"Total",114219,15255,"Census Tract 26, King County, WA","14000US53033002600",1209,18,1,23,"Overall",10.5849289522759,"High"
"28","53033002700",2019,0,"Total",145500,26727,"Census Tract 27, King County, WA","14000US53033002700",1392,16,0,7,"Overall",9.56701030927835,"High"
"29","53033002800",2019,0,"Total",137127,8427,"Census Tract 28, King County, WA","14000US53033002800",1122,19,0,15,"Overall",8.18219606642018,"High"
"30","53033002900",2019,0,"Total",112969,17345,"Census Tract 29, King County, WA","14000US53033002900",1015,10,2,15,"Overall",8.98476573219202,"High"
"31","53033003000",2019,0,"Total",105581,6834,"Census Tract 30, King County, WA","14000US53033003000",1236,17,2,10,"Overall",11.7066517649956,"High"
"32","53033003100",2019,0,"Total",127787,9935,"Census Tract 31, King County, WA","14000US53033003100",1332,24,4,13,"Overall",10.4235955144107,"High"
"33","53033003200",2019,0,"Total",95182,9776,"Census Tract 32, King County, WA","14000US53033003200",1895,39,9,19,"Overall",19.9092265344288,"High"
"34","53033003300",2019,0,"Total",127665,19600,"Census Tract 33, King County, WA","14000US53033003300",1614,17,3,16,"Overall",12.6424626953354,"High"
"35","53033003400",2019,0,"Total",112650,16591,"Census Tract 34, King County, WA","14000US53033003400",755,13,2,4,"Overall",6.70217487794052,"High"
"36","53033003500",2019,0,"Total",105625,13190,"Census Tract 35, King County, WA","14000US53033003500",913,16,3,4,"Overall",8.64378698224852,"High"
"37","53033003600",2019,0,"Total",83739,8672,"Census Tract 36, King County, WA","14000US53033003600",2149,30,7,16,"Overall",25.6630721647022,"High"
"38","53033003800",2019,0,"Total",124286,24442,"Census Tract 38, King County, WA","14000US53033003800",483,5,2,2,"Overall",3.8861979627633,"High"
"39","53033003900",2019,0,"Total",111806,37327,"Census Tract 39, King County, WA","14000US53033003900",688,11,1,4,"Overall",6.15351591148954,"High"
"40","53033004000",2019,0,"Total",85707,15075,"Census Tract 40, King County, WA","14000US53033004000",733,13,5,4,"Overall",8.55239362012438,"High"
